Date,rf
2025-10-16, 2.38
2025-10-15, 2.42
2025-10-14, 2.44
2025-10-13, Bank holiday
2025-10-10, 2.47
2025-10-09, 2.48
2025-10-08, 2.47
2025-10-07, 2.46
2025-10-06, 2.47
2025-10-03, 2.46
2025-10-02, 2.46
2025-10-01, 2.47
2025-09-30, Bank holiday
2025-09-29, 2.47
2025-09-26, 2.51
2025-09-25, 2.50
2025-09-24, 2.46
2025-09-23, 2.46
2025-09-22, 2.46
2025-09-19, 2.47
2025-09-18, 2.49
2025-09-17, 2.50
2025-09-16, 2.48
2025-09-15, 2.50
2025-09-12, 2.51
2025-09-11, 2.51
2025-09-10, 2.51
2025-09-09, 2.53
2025-09-08, 2.52
2025-09-05, 2.55
2025-09-04, 2.63
2025-09-03, 2.63
2025-09-02, 2.67
2025-09-01, Bank holiday
2025-08-29, 2.64
2025-08-28, 2.69
2025-08-27, 2.70
2025-08-26, 2.69
2025-08-25, 2.72
2025-08-22, 2.69
2025-08-21, 2.73
2025-08-20, 2.70
2025-08-19, 2.70
2025-08-18, 2.74
2025-08-15, 2.72
2025-08-14, 2.69
2025-08-13, 2.68
2025-08-12, 2.71
2025-08-11, 2.68
2025-08-08, 2.67
2025-08-07, 2.69
2025-08-06, 2.70
2025-08-05, 2.69
2025-08-04, Bank holiday
2025-08-01, 2.70
2025-07-31, 2.77
2025-07-30, 2.79
2025-07-29, 2.77
2025-07-28, 2.81
2025-07-25, 2.80
2025-07-24, 2.83
2025-07-23, 2.82
2025-07-22, 2.78
2025-07-21, 2.80
2025-07-18, 2.82
2025-07-17, 2.81
2025-07-16, 2.81
2025-07-15, 2.83
2025-07-14, 2.76
2025-07-11, 2.75
2025-07-10, 2.70
2025-07-09, 2.66
2025-07-08, 2.71
2025-07-07, 2.69
2025-07-04, 2.68
2025-07-03, 2.70
2025-07-02, 2.67
2025-07-01, Bank holiday
2025-06-30, 2.60
2025-06-27, 2.57
2025-06-26, 2.63
2025-06-25, 2.66
2025-06-24, 2.62
2025-06-23, 2.62
2025-06-20, 2.65
2025-06-19, 2.69
2025-06-18, 2.69
2025-06-17, 2.71
2025-06-16, 2.73
2025-06-13, 2.72
2025-06-12, 2.69
2025-06-11, 2.68
2025-06-10, 2.70
2025-06-09, 2.71
2025-06-06, 2.70
2025-06-05, 2.63
2025-06-04, 2.60
2025-06-03, 2.62
2025-06-02, 2.58
2025-05-30, 2.58
2025-05-29, 2.60
2025-05-28, 2.62
2025-05-27, 2.64
2025-05-26, 2.67
2025-05-23, 2.69
2025-05-22, 2.69
2025-05-21, 2.70
2025-05-20, 2.63
2025-05-19, Bank holiday
2025-05-16, 2.53
2025-05-15, 2.53
2025-05-14, 2.59
2025-05-13, 2.59
2025-05-12, 2.59
2025-05-09, 2.53
2025-05-08, 2.59
2025-05-07, 2.51
2025-05-06, 2.54
2025-05-05, 2.56
2025-05-02, 2.55
2025-05-01, 2.51
2025-04-30, 2.48
2025-04-29, 2.55
2025-04-28, 2.57
2025-04-25, 2.60
2025-04-24, 2.60
2025-04-23, 2.63
2025-04-22, 2.56
2025-04-21, 2.56
2025-04-18, Bank holiday
2025-04-17, 2.53
2025-04-16, 2.53
2025-04-15, 2.54
2025-04-14, 2.59
2025-04-11, 2.69
2025-04-10, 2.63
2025-04-09, 2.63
2025-04-08, 2.47
2025-04-07, 2.48
2025-04-04, 2.39
2025-04-03, 2.42
2025-04-02, 2.45
2025-04-01, 2.44
2025-03-31, 2.47
2025-03-28, 2.50
2025-03-27, 2.55
2025-03-26, 2.61
2025-03-25, 2.57
2025-03-24, 2.55
2025-03-21, 2.52
2025-03-20, 2.53
2025-03-19, 2.52
2025-03-18, 2.55
2025-03-17, 2.55
2025-03-14, 2.57
2025-03-13, 2.57
2025-03-12, 2.59
2025-03-11, 2.53
2025-03-10, 2.54
2025-03-07, 2.60
2025-03-06, 2.64
2025-03-05, 2.55
2025-03-04, 2.47
2025-03-03, 2.47
2025-02-28, 2.59
2025-02-27, 2.64
2025-02-26, 2.67
2025-02-25, 2.66
2025-02-24, 2.70
2025-02-21, 2.74
2025-02-20, 2.83
2025-02-19, 2.81
2025-02-18, 2.81
2025-02-17, Bank holiday
2025-02-14, 2.73
2025-02-13, 2.74
2025-02-12, 2.78
2025-02-11, 2.71
2025-02-10, 2.67
2025-02-07, 2.70
2025-02-06, 2.59
2025-02-05, 2.59
2025-02-04, 2.60
2025-02-03, 2.56
2025-01-31, 2.66
2025-01-30, 2.74
2025-01-29, 2.79
2025-01-28, 2.83
2025-01-27, 2.86
2025-01-24, 2.90
2025-01-23, 2.95
2025-01-22, 2.96
2025-01-21, 2.91
2025-01-20, 2.91
2025-01-17, 2.92
2025-01-16, 2.94
2025-01-15, 3.02
2025-01-14, 3.13
2025-01-13, 3.13
2025-01-10, 3.06
2025-01-09, 2.93
2025-01-08, 2.93
2025-01-07, 2.92
2025-01-06, 2.89
2025-01-03, 2.91
2025-01-02, 2.92
2025-01-01, Bank holiday
2024-12-31, 2.92
2024-12-30, 2.94
2024-12-27, 2.99
2024-12-26, Bank holiday
2024-12-25, Bank holiday
2024-12-24, 3.01
2024-12-23, 3.01
2024-12-20, 3.03
2024-12-19, 3.06
2024-12-18, 3.04
2024-12-17, 2.99
2024-12-16, 3.00
2024-12-13, 3.01
2024-12-12, 2.98
2024-12-11, 2.94
2024-12-10, 2.89
2024-12-09, 2.91
2024-12-06, 2.89
2024-12-05, 3.03
2024-12-04, 3.01
2024-12-03, 3.06
2024-12-02, 3.03
2024-11-29, 3.01
2024-11-28, 3.17
2024-11-27, 3.19
2024-11-26, 3.22
2024-11-25, 3.25
2024-11-22, 3.35
2024-11-21, 3.37
2024-11-20, 3.27
2024-11-19, 3.21
2024-11-18, 3.16
2024-11-15, 3.15
2024-11-14, 3.18
2024-11-13, 3.17
2024-11-12, 3.17
2024-11-11, Bank holiday
2024-11-08, 3.08
2024-11-07, 3.08
2024-11-06, 3.16
2024-11-05, 3.15
2024-11-04, 3.10
2024-11-01, 3.12
2024-10-31, 3.09
2024-10-30, 3.11
2024-10-29, 3.10
2024-10-28, 3.12
2024-10-25, 3.12
2024-10-24, 3.12
2024-10-23, 3.09
2024-10-22, 3.08
2024-10-21, 3.08
2024-10-18, 3.03
2024-10-17, 3.06
2024-10-16, 3.04
2024-10-15, 3.07
2024-10-14, Bank holiday
2024-10-11, 3.14
2024-10-10, 3.18
2024-10-09, 3.25
2024-10-08, 3.27
2024-10-07, 3.29
2024-10-04, 3.23
2024-10-03, 3.06
2024-10-02, 3.00
2024-10-01, 2.96
2024-09-30, Bank holiday
2024-09-27, 2.94
2024-09-26, 3.01
2024-09-25, 3.00
2024-09-24, 2.95
2024-09-23, 2.96
2024-09-20, 2.96
2024-09-19, 2.95
2024-09-18, 2.98
2024-09-17, 2.98
2024-09-16, 2.94
2024-09-13, 3.00
2024-09-12, 3.06
2024-09-11, 3.08
2024-09-10, 3.05
2024-09-09, 3.09
2024-09-06, 3.11
2024-09-05, 3.18
2024-09-04, 3.18
2024-09-03, 3.28
2024-09-02, Bank holiday
2024-08-30, 3.44
2024-08-29, 3.42
2024-08-28, 3.39
2024-08-27, 3.37
2024-08-26, 3.37
2024-08-23, 3.35
2024-08-22, 3.41
2024-08-21, 3.36
2024-08-20, 3.38
2024-08-19, 3.44
2024-08-16, 3.42
2024-08-15, 3.42
2024-08-14, 3.34
2024-08-13, 3.35
2024-08-12, 3.41
2024-08-09, 3.44
2024-08-08, 3.46
2024-08-07, 3.42
2024-08-06, 3.39
2024-08-05, Bank holiday
2024-08-02, 3.29
2024-08-01, 3.49
2024-07-31, 3.59
2024-07-30, 3.63
2024-07-29, 3.69
2024-07-26, 3.72
2024-07-25, 3.77
2024-07-24, 3.77
2024-07-23, 3.84
2024-07-22, 3.88
2024-07-19, 3.86
2024-07-18, 3.83
2024-07-17, 3.81
2024-07-16, 3.80
2024-07-15, 3.82
2024-07-12, 3.84
2024-07-11, 3.88
2024-07-10, 3.94
2024-07-09, 3.95
2024-07-08, 3.96
2024-07-05, 3.97
2024-07-04, 4.06
2024-07-03, 4.05
2024-07-02, 4.07
2024-07-01, Bank holiday
2024-06-28, 4.02
2024-06-27, 4.04
2024-06-26, 4.06
2024-06-25, 4.00
2024-06-24, 3.94
2024-06-21, 3.93
2024-06-20, 3.92
2024-06-19, 3.88
2024-06-18, 3.85
2024-06-17, 3.91
2024-06-14, 3.87
2024-06-13, 3.89
2024-06-12, 3.94
2024-06-11, 4.01
2024-06-10, 4.03
2024-06-07, 4.03
2024-06-06, 3.97
2024-06-05, 3.96
2024-06-04, 4.08
2024-06-03, 4.14
2024-05-31, 4.25
2024-05-30, 4.34
2024-05-29, 4.39
2024-05-28, 4.36
2024-05-27, 4.33
2024-05-24, 4.31
2024-05-23, 4.29
2024-05-22, 4.27
2024-05-21, 4.24
2024-05-20, Bank holiday
2024-05-17, 4.31
2024-05-16, 4.27
2024-05-15, 4.25
2024-05-14, 4.35
2024-05-13, 4.37
2024-05-10, 4.37
2024-05-09, 4.28
2024-05-08, 4.27
2024-05-07, 4.24
2024-05-06, 4.23
2024-05-03, 4.24
2024-05-02, 4.32
2024-05-01, 4.40
2024-04-30, 4.45
2024-04-29, 4.40
2024-04-26, 4.43
2024-04-25, 4.44
2024-04-24, 4.38
2024-04-23, 4.37
2024-04-22, 4.36
2024-04-19, 4.35
2024-04-18, 4.35
2024-04-17, 4.30
2024-04-16, 4.32
2024-04-15, 4.35
2024-04-12, 4.29
2024-04-11, 4.36
2024-04-10, 4.36
2024-04-09, 4.21
2024-04-08, 4.25
2024-04-05, 4.22
2024-04-04, 4.20
2024-04-03, 4.23
2024-04-02, 4.25
2024-04-01, 4.29
2024-03-29, Bank holiday
2024-03-28, 4.20
2024-03-27, 4.16
2024-03-26, 4.19
2024-03-25, 4.15
2024-03-22, 4.13
2024-03-21, 4.18
2024-03-20, 4.14
2024-03-19, 4.21
2024-03-18, 4.33
2024-03-15, 4.28
2024-03-14, 4.25
2024-03-13, 4.18
2024-03-12, 4.16
2024-03-11, 4.10
2024-03-08, 4.07
2024-03-07, 4.12
2024-03-06, 4.10
2024-03-05, 4.08
2024-03-04, 4.17
2024-03-01, 4.19
2024-02-29, 4.28
2024-02-28, 4.30
2024-02-27, 4.33
2024-02-26, 4.31
2024-02-23, 4.28
2024-02-22, 4.32
2024-02-21, 4.30
2024-02-20, 4.27
2024-02-19, Bank holiday
2024-02-16, 4.41
2024-02-15, 4.36
2024-02-14, 4.37
2024-02-13, 4.47
2024-02-12, 4.36
2024-02-09, 4.33
2024-02-08, 4.32
2024-02-07, 4.26
2024-02-06, 4.21
2024-02-05, 4.28
2024-02-02, 4.21
2024-02-01, 4.11
2024-01-31, 4.17
2024-01-30, 4.21
2024-01-29, 4.20
2024-01-26, 4.23
2024-01-25, 4.19
2024-01-24, 4.20
2024-01-23, 4.24
2024-01-22, 4.25
2024-01-19, 4.27
2024-01-18, 4.23
2024-01-17, 4.22
2024-01-16, 4.10
2024-01-15, 3.98
2024-01-12, 3.98
2024-01-11, 4.02
2024-01-10, 4.06
2024-01-09, 4.04
2024-01-08, 4.06
2024-01-05, 4.08
2024-01-04, 4.07
2024-01-03, 3.99
2024-01-02, 3.98
2024-01-01, Bank holiday
2023-12-29, 3.91
2023-12-28, 3.95
2023-12-27, 3.94
2023-12-26, Bank holiday
2023-12-25, Bank holiday
2023-12-22, 4.02
2023-12-21, 3.97
2023-12-20, 3.94
2023-12-19, 4.01
2023-12-18, 4.01
2023-12-15, 3.96
2023-12-14, 3.93
