ticker,date_t,tilt_score,excess_return
ABX.TO,2022-01-31,-3.746508457,0.166746647
AEM.TO,2022-01-31,-3.721799849,0.052102969
ATD.TO,2022-01-31,-0.988425611,-0.031235715
BCE.TO,2022-01-31,0.267244433,0.001416328
BMO.TO,2022-01-31,1.470021727,0.004749799
BN.TO,2022-01-31,0.245277637,-0.008997495
BNS.TO,2022-01-31,0.862639507,0.002022236
CM.TO,2022-01-31,1.547562048,0.003921162
CNQ.TO,2022-01-31,3.234452287,0.089717215
CNR.TO,2022-01-31,-0.487204766,0.013659646
CP.TO,2022-01-31,-1.172592069,-0.019898635
ENB.TO,2022-01-31,0.9186568,0.033261756
FNV.TO,2022-01-31,-0.877504225,0.103767555
L.TO,2022-01-31,0.880837784,0.006983988
MG.TO,2022-01-31,0.127957617,-0.079021833
MRU.TO,2022-01-31,-0.8557097,-0.024368528
QSR.TO,2022-01-31,-1.743588956,-0.003252454
RCI-B.TO,2022-01-31,-1.019161867,0.014557308
RY.TO,2022-01-31,0.605500255,-0.034249877
SU.TO,2022-01-31,2.261809118,0.063879634
T.TO,2022-01-31,0.09781629,0.066715105
TD.TO,2022-01-31,0.908586688,0.003465469
TECK-B.TO,2022-01-31,0.800624256,0.14943844
TOU.TO,2022-01-31,0.204245267,0.097134221
TRI.TO,2022-01-31,1.75705861,-0.059401179
TRP.TO,2022-01-31,-0.223412381,0.035651425
WCN.TO,2022-01-31,0.033856999,-0.013649731
WPM.TO,2022-01-31,-1.38823944,0.079247402
